name,sum
국회|국회의원|김병관,167885638
국회|국회의원|김세연,155885326
국회|국회의원|안철수,119553224
국회|국회의원|박덕흠,50762726
국회|국회의원|박정,22992983
국회|국회의원|성일종,21523444
교육부서울대학교치과병원|병원장|허성주,20762055
국회|국회의원|최교일,20132673
인천광역시중구|구청장|김홍섭,19451833
미래창조과학부한국기계연구원|원장|임용택,17953663
국회|국회의원|윤상현,16791664
미래창조과학부한국원자력의학원|원장|최창운,16616684
서울고등법원|부장판사|최상열,15818964
서울고등법원|부장판사|김동오,15714982
부산광역시의회|의장|백종헌,15271602
서울특별시의회|의원|이종필,14917315
대전고등법원|부장판사|윤승은,14245564
국회|국회의원|김무성,14161863
국회|국회의원|강석호,13904477
대구광역시의회|의원|조성제,13669240
서울특별시의회|의원|성중기,13056023
경기도의회|의원|이현호,12937418
서울특별시의회|의원|이복근,12921017
서울고등법원|부장판사|김용대,12880214
서울고등법원|부장판사|조경란,12870065
대통령비서실|국정과제비서관|이련주,10119496
금융위원회|상임위원|김학균,9768921
수원지방법원성남지원|원로법관|심상철,9574925
경상북도의회|의원|김수문,9209558
보건복지부질병관리본부|본부장|정기석,9067187
경상북도|경제부지사|정병윤,8872381
국회|국회의원|김종인,8653887
부산광역시의회|의원|김병환,8582374
국회|국회의원|김삼화,8571886
국회|국회의원|이은재,8471154
부산광역시의회|의원|박재본,8192818
경상북도의회|의원|박영서,8070399
서울특별시종로구|구청장|김영종,7792876
전라남도의회|의장|임명규,7717217
국회|국회의원|장병완,7604065
경기도의회|의원|공영애,7563448
국회|국회의원|홍문종,7528949
한국은행금융통화위원회|위원|함준호,7380931
전라북도고창군|군수|박우정,7357954
전라북도의회|의원|장명식,7275095
울산광역시|시장|김기현,7153274
대전광역시의회|의원|박희진,7086385
전라남도의회|의원|정연선,6981505
한국은행금융통화위원회|위원|신인석,6971316
산업통상자원부한국석유공사|상임감사위원|변윤성,6950228
충청남도의회|의원|신재원,6904581
국회|국회의원|김종석,6825510
미래창조과학부기초과학연구원|원장|김두철,6765863
국회|국회의원|정우택,6746530
부산고등법원|부장판사|권순형,6730914
전라남도의회|의원|명현관,6643570
충청북도의회|의원|최병윤,6616383
전라북도의회|의원|최훈열,6596532
국회|국회의원|이혜훈,6596218
충청남도의회|의원|김동욱,6594745
국토교통부교통안전공단|이사장|오영태,6569381
국민안전처|특수재난실장|김경수,6511810
경상남도양산시|시장|나동연,6503919
서울고등법원|부장판사|김우진,6482421
공정거래위원회한국소비자원|원장|한견표,6474837
서울고등법원|부장판사|김문석,6395762
외교부|국무총리외교보좌관|장호진,6332396
서울특별시의회|의원|김동승,6231942
국회|국회의원|여상규,6195798
국회|국회의원|김광림,6181890
산업통상자원부(주)강원랜드|대표이사|함승희,6179751
서울특별시의회|의원|남창진,6174379
교육부국립대학법인인천대학교|총장|조동성,6152212
국회|국회의원|배덕광,6127613
전라남도의회|의원|정정희,6060950
경찰청|치안감|최현락,6021479
국회|국회의원|정진석,5989542
충청남도의회|의원|정정희,5947726
대통령비서실|대변인|정연국,5910895
국회|국회의원|신용현,5899930
경상남도의회|의원|류순철,5891405
국회|국회의원|홍철호,5867630
국회|국회의원|금태섭,5758929
국회|국회부의장|심재철,5754514
울산광역시의회|의원|김종무,5746734
교육부서울과학기술대학교|부총장|김연태,5720118
국회|국회의원|정유섭,5687187
세종특별자치시의회|의원|김정봉,5600669
금융위원회한국산업은행|회장|이동걸,5599117
국회|국회의원|지상욱,5584057
국회|국회의원|이완영,5576301
서울가정법원|법원장|성백현,5573342
제주특별자치도의회|의원|김영보,5493064
감사원|제2사무차장|신민철,5434413
보건복지부한국건강증진개발원|원장|정기혜,5420434
산업통상자원부한국석유공사|사장|김정래,5416406
충청남도의회|의원|김원태,5330963
서울특별시의회|부의장|김진수,5209617
부산광역시해운대구|구청장|백선기,5181416
서울고등법원|부장판사|강승준,5138193
국회|국회의원|진영,5111303
대검찰청광주고등검찰청|차장검사|양부남,5092901
국회|국회의원|주승용,5088998
교육부충북대학교병원|병원장|조명찬,5066541
국회|국회의원|최경환,5037551
국회|국회의원|박성중,5027154
서울남부지방법원|법원장|이균용,5001146
대검찰청서울중앙지방검찰청|제1차장검사|노승권,4967626
서울특별시의회|의원|주찬식,4921605
국회|국회의원|김병욱,4839855
국회|국회의원|유승민,4836121
대법원|대법관|김용덕,4827564
법무부|감찰관|장인종,4802747
경기도의회|의원|이은주,4776803
전라남도무안군|군수|김철주,4734526
부산광역시의회|의원|안재권,4726757
사법정책연구원|수석연구위원|강영수,4672810
서울고등법원|부장판사|김시철,4669786
국토교통부한국도로공사|사장|김학송,4668073
인천광역시의회|의원|정창일,4665279
해양수산부수산업협동조합중앙회|회장|김임권,4642331
국회|국회의원|홍일표,4631671
해양수산부국립해양생물자원관|관장|김상진,4622285
보건복지부국민건강보험공단|이사장|성상철,4598228
국회|국회의원|손혜원,4585362
서울고등법원|부장판사|김흥준,4576063
교육부제주대학교|총장|허향진,4544097
대검찰청|공안부장|정점식,4519877
국회|국회의원|안규백,4512149
교육부전남대학교병원|병원장|윤택림,4482091
경상북도의회|의원|황병직,4475306
서울특별시|경제진흥본부장|서동록,4469470
경기도의회|의원|박재순,4454913
헌법재판소|사무차장|김헌정,4454218
경상남도함양군|군수|임창호,4450148
경상남도의령군|군수|오영호,4433386
부산광역시|시장|서병수,4409728
미래창조과학부|기획조정실장|민원기,4397190
울산광역시교육청|교육감|김복만,4383237
법무부|기획조정실장|권익환,4370741
국회|국회의원|이학재,4364405
국회|국회의원|박주현,4354367
대전지방법원|법원장|안철상,4342873
국민권익위원회|위원장|성영훈,4309481
서울고등법원|부장판사|이승련,4299461
경기도의회|의원|조재욱,4290202
전라남도의회|의원|김연일,4273268
인천광역시남동구|구청장|장석현,4216553
법원행정처|사법지원실장|홍승면,4215362
미래창조과학부한국전자통신연구원|원장|이상훈,4208473
대법원|대법원장|양승태,4190452
식품의약품안전처식품의약품안전평가원|원장|손여원,4179208
국회|국회의원|오세정,4165440
헌법재판소|사무처장|김용헌,4163561
한국은행|감사|하성,4162827
보건복지부한국보육진흥원|원장|서문희,4127565
경기도의회|의원|박광서,4116093
부산광역시강서구|구청장|노기태,4087781
서울특별시서울시립대학교|총장|원윤희,4086118
금융위원회주택금융공사|사장|김재천,4080251
강원도고성군|군수|윤승근,4079143
울산광역시의회|의원|송해숙,4072658
금융위원회|부위원장|정은보,4061929
국회|국회의원|최운열,4055195
국회|국회의원|신경민,4052252
국회|국회의장|정세균,4042430
법무부한국법무보호복지공단|이사장|구본민,4041047
경상남도의회|의원|최학범,4038703
광주광역시|경제부시장|김종식,4037025
제주특별자치도의회|의원|고충홍,4035897
경기도|도지사|남경필,4027618
국회|국회의원|박병석,4015358
기획재정부한국조폐공사|상임감사|안광복,4007743
강원도의회|의원|김기홍,3973559
서울고등법원|부장판사|함상훈,3953911
방송통신위원회한국교육방송공사|사장|우종범,3948817
경상북도의회|의원|이운식,3928251
부산고등법원|부장판사|김주호,3922480
부산광역시의회|의원|전봉민,3898295
강원도의회|의원|이정동,3889808
대구광역시의회|의원|이동희,3863109
전라남도순천시|시장|조충훈,3859405
서울고등법원|부장판사|김기정,3830193
인천광역시의회|의원|황인성,3803305
미래창조과학부|장관|최양희,3780223
경상북도예천군|군수|이현준,3753878
-|대통령|박근혜,3738208
세종특별자치시|시장|이춘희,3726692
외교부|제1차관|임성남,3724518
서울특별시의회|의원|유청,3708734
전라북도의회|의원|김영배,3689810
방송통신위원회|위원장|최성준,3677938
대검찰청서울남부지방검찰청|검사장|김진모,3675716
부산고등법원|법원장|황한식,3658561
충청남도의회|의원|김종필,3657969
보건복지부국립암센터|원장|이강현,3657473
서울고등법원|부장판사|김재호,3650048
국회|국회의원|나경원,3650048
대전광역시|시장|권선택,3631025
행정자치부지방행정연수원|원장|주낙영,3630008
중소기업청한국벤처투자(주)|사장|조강래,3627572
대구광역시의회|의원|배지숙,3613181
서울특별시의회|의원|우미경,3599659
부산광역시의회|의원|최영규,3598486
부산광역시의회|의원|정명희,3584158
경기도의회|의원|명상욱,3567523
국회|국회의원|정성호,3563842
기획재정부|제2차관|송언석,3539921
국회|국회의원|박영선,3537990
대전광역시의회|의원|최선희,3526423
국회|국회의원|권성동,3522597
제주특별자치도의회|의장|신관홍,3522379
대검찰청대전고등검찰청|검사장|김강욱,3510144
산업통상자원부한국세라믹기술원|원장|강석중,3508249
법무부사법연수원|부원장|조은석,3501538
국회|국회의원|유기준,3501510
강원도의회|의원|김성근,3498089
서울고등법원|부장판사|한승,3497354
고용노동부한국산업인력공단|이사장|박영범,3491069
산업통상자원부한국광해관리공단|이사장|김익환,3489885
특허법원|법원장|이대경,3489290
부산광역시의회|의원|강무길,3486093
부산광역시의회|의원|김종한,3471157
경기도안성시|시장|황은성,3466933
서울고등법원|부장판사|윤성근,3466135
국회|국회의원|강길부,3436703
경기도의회|의원|이재석,3420287
경상북도의회|의원|조현일,3407710
국회|국회의원|곽상도,3390734
서울고등법원|부장판사|배광국,3390120
미래창조과학부대구경북과학기술원|총장|신성철,3380546
전라북도의회|의원|김종철,3369177
국민권익위원회|부위원장|박경호,3363813
국민안전처|차관|이성호,3352684
국토교통부|제1차관|김경환,3335419
서울특별시의회|의원|유용,3323084
서울고등법원|부장판사|고의영,3314719
교육부재단법인동북아역사재단|이사장|김호섭,3277940
국회|국회의원|오신환,3267972
제주특별자치도의회|의원|손유원,3264123
부산고등법원|부장판사|구남수,3261890
미래창조과학부한국연구재단|이사장|조무제,3260910
서울특별시의회|의원|강성언,3256504
경상남도창원시|시장|안상수,3249656
보건복지부|차관|방문규,3227602
전라남도|정무부지사|우기종,3222807
대구광역시남구|구청장|임병헌,3217577
한국은행금융통화위원회|위원|조동철,3210105
서울고등법원|부장판사|민중기,3206247
고용노동부한국사회적기업진흥원|원장|오광성,3191783
충청남도공주시|시장|오시덕,3188152
한국은행|부총재|장병화,3186821
한국은행금융통화위원회|위원|고승범,3165870
보건복지부|장관|정진엽,3161415
서울고등법원|부장판사|김대웅,3160638
특허법원|부장판사|오영준,3151677
보건복지부한국의료분쟁조정중재원|원장|박국수,3130497
국회|국회의원|조응천,3129575
미래창조과학부정보통신산업진흥원|원장|윤종록,3118671
고용노동부|고용정책실장|문기섭,3107717
국회|국회의원|변재일,3103690
국무조정실한국보건사회연구원|원장|김상호,3100177
국가인권위원회|상임위원|정상환,3092213
교육부한국해양대학교|총장|박한일,3089931
부산광역시의회|의원|권칠우,3084569
인사혁신처|처장|김동극,3081444
국무조정실한국개발연구원|원장|김준경,3068945
국회|국회의원|김순례,3065639
국회|국회의원|유동수,3061102
법무부|검찰국장|안태근,3048106
전라남도영광군|군수|김준성,3025205
방송통신심의위원회|위원장|박효종,3022461
서울고등법원|부장판사|권기훈,3013313
미래창조과학부한국원자력연구원|원장|김종경,3005863
국회|국회의원|백재현,3002241
경기도의회|의원|김상돈,2977333
산업통상자원부한국가스공사|관리부사장|안완기,2974244
창원지방법원|법원장|박효관,2962639
전라남도의회|의원|권욱,2955406
국회|국회의원|김도읍,2938693
미래창조과학부과학기술연합대학원대학교|총장|문길주,2932430
인천광역시경제자유구역청|청장|이영근,2932330
인천광역시의회|의원|이영환,2916138
충청남도의회|의원|강용일,2901635
국회|국회의원|김정훈,2895911
대검찰청수원지방검찰청|검사장|신유철,2888168
한국은행금융통화위원회|위원|이일형,2887711
국회|국회의원|이용득,2880706
경상남도의회|의원|황종명,2865407
충청북도의회|의원|임헌경,2865377
서울특별시중구|구청장|최창식,2861774
국가보훈처독립기념관|관장|윤주경,2861720
행정자치부|장관|홍윤식,2860542
국회|국회의원|송희경,2857419
국회|국회의원|오제세,2834578
보건복지부국립보건연구원|원장|박도준,2832463
보건복지부대구경북첨단의료산업진흥재단|이사장|이재태,2828846
서울특별시의회|의원|최호정,2825399
국회|국회의원|강효상,2824614
국무조정실한국조세재정연구원|원장|박형수,2817187
경기도의회|의원|진용복,2796749
특허법원|부장판사|이정석,2792604
미래창조과학부한국인터넷진흥원|원장|백기승,2791059
국회|국회의원|김진태,2786842
국회|국회의원|황주홍,2785736
국회|국회의원|정종섭,2770825
광주광역시서구|구청장|임우진,2769605
외교부|한반도평화교섭본부장|김홍균,2766458
인천광역시의회|의원|최석정,2754808
부산광역시|국제관계대사|홍성화,2748388
충청남도의회|의원|김석곤,2748137
헌법재판소|재판관|강일원,2743587
헌법재판소|재판관|조용호,2743014
보건복지부오송첨단의료산업진흥재단|이사장|선경,2737632
대법원|대법관|권순일,2730659
경기도의회|의원|조창희,2715627
수원지방법원|수석부장판사|한창훈,2698082
미래창조과학부한국건설기술연구원|원장|이태식,2697529
대구고등법원|수석부장판사|진성철,2689722
서울특별시의회|의원|이석주,2688664
경상북도의회|의원|안희영,2686830
경기도성남시|시장|이재명,2685727
서울서부지방법원|법원장|이태종,2675427
국가인권위원회|위원장|이성호,2668098
문화체육관광부한국문화예술교육진흥원|원장|주성혜,2655024
서울특별시의회|의원|김혜련,2647644
경상북도의회|의원|나기보,2647203
산업통상자원부한국가스공사|사장|이승훈,2645463
금융위원회금융감독원|부원장보|박희춘,2643288
국가정보원|제2차장|최윤수,2643144
미래창조과학부한국지질자원연구원|원장|신중호,2641461
보건복지부건강보험심사평가원|원장|손명세,2638067
국회|국회의원|소병훈,2623341
교육부한국학중앙연구원|원장|이기동,2622730
고용노동부|일반직고위공무원|신기창,2620151
광주지방법원|법원장|김광태,2618241
식품의약품안전처|차장|유무영,2618061
국회|국회의원|홍의락,2613940
경기도연천군|군수|김규선,2611099
금융위원회금융감독원|부원장|이동엽,2608724
대구광역시달성군|군수|김문오,2598667
수원지방법원안산지원|원로법관|조병현,2591953
서울고등법원|부장판사|김인겸,2589174
국민권익위원회|부위원장|이상민,2589076
외교부|외교비서관|이도훈,2588987
경상남도의회|의원|진병영,2587230
충청북도청주시|시장|이승훈,2583410
경상남도의회|의원|김창규,2570209
대통령비서실|인사수석비서관|정진철,2567565
경상남도|도지사|홍준표,2555543
서울특별시의회|의원|최조웅,2543572
행정중심복합도시건설청|청장|이충재,2542958
대법원|前대법관|이상훈,2538887
국회|국회의원|이언주,2534062
서울특별시서초구|구청장|조은희,2530685
대구고등법원|부장판사|성수제,2524429
서울특별시의회|의원|이명희,2522641
국무조정실|대통령권한대행국무총리|황교안,2521731
서울고등법원|부장판사|민유숙,2520649
경상남도진주시|시장|이창희,2518997
국가안보실|안보전략비서관|전성훈,2511814
서울고등법원|부장판사|이상주,2507661
행정자치부이북5도위원회|함경남도지사|김덕순,2503283
교육부국립대학법인서울대학교|총장|성낙인,2502021
고용노동부|차관|고영선,2500627
국회|국회의원|조훈현,2494927
울산광역시울주군|군수|신장열,2491788
대통령비서실|고용복지수석비서관|김현숙,2488568
방송통신위원회|상임위원|이기주,2485537
국가안보실|제1차장|조태용,2480452
국회|국회의원|윤후덕,2476539
울산광역시의회|의원|박영철,2469311
서울회생법원|법원장|이경춘,2466512
국회|국회의원|주호영,2464550
인사혁신처공무원연금공단|이사장|최재식,2462797
국회|국회의원|이상민,2459114
대전고등법원|부장판사|이승한,2456121
국토교통부한국토지주택공사|부사장겸기획재무본부장|송태호,2445954
국회|국회의원|박명재,2444306
감사원|감사위원|유진희,2444194
국무조정실대외경제정책연구원|원장|현정택,2428124
대통령비서실|산업통상자원비서관|박원주,2415161
교육부한국체육대학교|총장|김성조,2412662
국방부|-|장경석,2405626
경기도의회|의원|윤광신,2393516
국토교통부한국토지주택공사|상임감사위원|허종덕,2389867
대구광역시의회|의원|박상태,2386307
교육부서울과학기술대학교|부총장|박익근,2385377
국회|국회의원|정용기,2382118
헌법재판소|재판관|서기석,2372601
울산광역시의회|의원|천기옥,2372294
기획재정부|국제경제관리관|송인창,2368850
서울고등법원|부장판사|서경환,2366920
고용노동부학교법인한국기술교육대학교|총장|김기영,2363837
대구광역시의회|의원|이경애,2355515
국회|국회의원|박남춘,2355357
국무조정실|규제조정실장|강영철,2352592
국회|국회의원|김동철,2342366
병무청|차장|이상진,2327207
국회|국회의원|최연혜,2324462
서울특별시서대문구|구청장|문석진,2321400
충청북도|정무부지사|설문식,2318576
여성가족부|기획조정실장|이기순,2317596
국회|국회의원|박경미,2315006
대검찰청|검찰총장|김수남,2310292
미래창조과학부한국한의학연구원|원장|이혜정,2307300
부산광역시동구|구청장|박삼석,2304302
서울중앙지방법원|법원장|강형주,2299665
사법연수원|교수(고등법원부장판사)|선재성,2294752
경상남도의회|의원|서종길,2289134
금융위원회금융감독원|부원장|김수일,2287900
산업통상자원부한국남동발전(주)|상임감사위원|최상화,2281073
전라남도진도군|군수|이동진,2278066
국민안전처|기획조정실장|김동현,2271488
서울고등법원|부장판사|정선재,2266250
교육부부산대학교|부총장|이정주,2256158
서울특별시의회|의원|김용석_,2251025
교육부대구교육대학교|총장|임청환,2241139
부산광역시의회|의원|이대석,2239753
경찰청부산지방경찰청|청장|허영범,2236861
울산광역시의회|의원|임현철,2227107
국토교통부한국철도공사|사장|홍순만,2224609
교육부강원대학교|총장|김헌영,2219522
부산광역시의회|의원|최영진,2219334
국무총리비서실|민정실장|이태용,2215603
국회|국회의원|전해철,2212996
외교부|대사|이윤,2205753
미래창조과학부한국전기연구원|원장|박경엽,2205112
국회|국회의원|문미옥,2189575
국회운영위원회|수석전문위원|한공식,2177140
경상북도의회|의원|한혜련,2173152
부산광역시의회|의원|김수용,2172666
대구광역시의회|의원|조재구,2172340
금융위원회|위원장|임종룡,2172145
국가안보실|사이버안보비서관|이재성,2168763
서울특별시의회|의원|김영한,2165100
부산광역시의회|의원|이상갑,2162382
광주광역시의회|의장|이은방,2157636
감사원|사무총장|이완수,2154749
새누리당|정책연구위원|이중호,2152977
국회|국회의원|김규환,2152595
대통령비서실|보건복지비서관|김진수,2151397
경상북도포항시|시장|이강덕,2149232
보건복지부한국보건산업진흥원|원장|이영찬,2148630
국회|국회의원|이종걸,2146277
대검찰청|사무국장|양희천,2145243
전라남도광양시|시장|정현복,2144939
서울고등법원|수석부장판사|성낙송,2143652
대검찰청부산고등검찰청|검사장|문무일,2143113
교육부국사편찬위원회|위원장|김정배,2142892
국회|국회의원|민경욱,2140515
서울고등법원|부장판사|김필곤,2136310
교육부한국장학재단|이사장|안양옥,2133858
한국은행|총재|이주열,2132076
국회|국회의원|정운천,2131219
대통령비서실|기획비서관|최재영,2125694
서울고등법원|부장판사|양현주,2123338
국회|국회의원|이철규,2122271
경기도의회|의원|방성환,2121159
서울특별시의회|의원|유찬종,2118501
인천광역시의회|의원|안영수,2117281
국회|국회의원|윤상직,2114422
수원지방법원|법원장|이종석,2113928
교육부충남대학교|부총장|진윤수,2112435
대검찰청울산지방검찰청|검사장|한찬식,2111498
국회|국회의원|강창일,2111355
경기도의회|의원|김길섭,2110913
산업통상자원부한국디자인진흥원|원장|정용빈,2108393
특허법원|부장판사|박형준,2104154
산업통상자원부한국지역난방공사|사장|김경원,2103771
국회|국회의원|유재중,2101181
울산광역시의회|의원|이성룡,2098777
보건복지부한국노인인력개발원|원장|최성재,2096675
국회|국회의원|김철민,2093030
서울고등법원|부장판사|윤준,2087258
경상남도의회|의원|정연희,2084024
부산광역시영도구|구청장|어윤태,2080662
국회|국회의원|이개호,2077189
대통령비서실|기후환경비서관|이찬희,2075086
제주특별자치도의회|의원|유진의,2070482
광주광역시북구|구청장|송광운,2062105
산업통상자원부한국전력공사|사장|조환익,2059219
경상북도의회|의원|김봉교,2056148
외교부|공공외교대사|조현동,2054364
부산지방법원|법원장|이광만,2051738
대법원|대법관|김재형,2050981
기획재정부한국투자공사|사장|은성수,2049551
금융위원회금융감독원|부원장보|조두영,2049220
경찰청대구지방경찰청|청장|김상운,2044052
서울고등법원|부장판사|배준현,2038174
법원행정처|법원행정처장(대법관)|고영한,2029574
경기도의회|의원|원욱희,2029254
외교부|기획조정실장|백지아,2028987
서울고등법원|부장판사|김종호,2026373
기상청한국기상산업진흥원|원장|김종석,2020504
교육부경상대학교병원|병원장|신희석,2019989
국토교통부한국감정원|원장|서종대,2017633
서울특별시의회|의원|이현찬,2017379
서울중앙지방법원|형사수석부장판사|신광렬,2014904
국회|국회의원|추경호,2012134
국가안보실|국가안보실장|김관진,2006325
서울특별시의회|의원|최판술,2003986
대전광역시|정무부시장|이현주,1999265
부산광역시의회|의원|오은택,1997224
국회|국회의원|김승희,1996256
행정자치부경찰위원회|상임위원|김정식,1994530
대구광역시의회|의원|최재훈,1990552
산업통상자원부한국중부발전(주)|사장|정창길,1989303
산업통상자원부|제2차관|우태희,1988519
대법원|대법관|이기택,1988409
경기도남양주시|시장|이석우,1982228
미래창조과학부한국철도기술연구원|원장|김기환,1978879
국회|국회의원|이학영,1978762
국회사무처|국회사무총장|우윤근,1978277
서울고등법원|부장판사|서태환,1976140
중앙선거관리위원회|사무총장|김대년,1974996
국회|국회의원|이상돈,1956820
국회|국회의원|김학용,1951024
고용노동부학교법인한국폴리텍|이사장|이우영,1950303
중소기업청중소기업진흥공단|이사장|임채운,1946940
금융위원회금융정보분석원|원장|유광열,1944519
충청남도천안시|시장|구본영,1942599
여성가족부|장관|강은희,1936078
전라남도장성군|군수|유두석,1933854
문화체육관광부한국문화예술위원회|위원장|박명진,1932364
교육부금오공과대학교|총장|김영식,1930474
환경부|장관|조경규,1928654
서울특별시용산구|구청장|성장현,1928137
국회|국회의원|김정우,1924640
경기도의회|의원|조승현,1920666
국회|국회의원|도종환,1919778
국토교통부|교통물류실장|이승호,1919094
문화체육관광부한국관광공사|사장|정창수,1914025
산림청한국임업진흥원|원장|김남균,1913022
경상남도의회|의원|이태춘,1910660
서울특별시의회|의원|유광상,1910537
제주특별자치도의회|의원|이기붕,1908607
행정자치부이북5도위원회|황해도지사|한상순,1905980
산업통상자원부한국지역난방공사|부사장|이기만,1902475
교육부|부총리겸장관|이준식,1900940
서울특별시중랑구|구청장|라진구,1897444
환경부|차관|이정섭,1894667
전라북도정읍시|시장|김생기,1892140
통계청|청장|유경준,1890964
국회|국회의원|김영주,1888453
대검찰청광주지방검찰청|검사장|김회재,1878354
교육부한국사학진흥재단|이사장|김혜천,1875646
중소기업청신용보증재단중앙회|회장|김순철,1874377
방위사업청|청장|장명진,1870069
대검찰청대구지방검찰청|검사장|전현준,1867900
외교부|의전비서관|윤여철,1865611
경기도의회|의원|이재준,1865069
충청북도의회|의장|김양희,1858293
산업통상자원부한국무역보험공사|사장|김영학,1854970
서울고등법원|부장판사|조해현,1853903
전라남도여수시|시장|주철현,1851558
해양수산부수산업협동조합중앙회|감사|서정욱,1849614
전라북도|행정부지사|김일재,1848755
농림축산식품부농림수산식품교육문화정보원|원장|박철수,1845338
국회|국회의원|기동민,1844763
교육부부산대학교병원|병원장|이창훈,1844330
서울고등법원|부장판사|김주현,1838888
법원행정처|前법원행정처차장|임종헌,1838731
전주지방법원|법원장|장석조,1838334
